# x	y	u	v	mask
224.0000	128.0000	 -0.0000	  0.4001	  0.0000
256.0000	128.0000	 -0.0196	  0.6058	  0.0000
288.0000	128.0000	 -0.0027	  0.7038	  0.0000
320.0000	128.0000	  0.0124	  0.6188	  0.0000
352.0000	128.0000	 -0.0157	  0.2333	  0.0000
384.0000	128.0000	 -0.0483	  0.0536	  0.0000
416.0000	128.0000	 -0.0446	  0.0119	  0.0000
448.0000	128.0000	 -0.0198	  0.0074	  0.0000
480.0000	128.0000	 -0.0055	  0.0110	  0.0000
 32.0000	 96.0000	  0.0018	  0.0011	  0.0000
 64.0000	 96.0000	  0.0141	  0.0029	  0.0000
 96.0000	 96.0000	 -0.0069	  0.0433	  0.0000
128.0000	 96.0000	 -0.0423	  0.1375	  0.0000
160.0000	 96.0000	 -0.0579	  0.1805	  0.0000
192.0000	 96.0000	 -0.0465	  0.2691	  0.0000
224.0000	 96.0000	 -0.0212	  0.4069	  0.0000
256.0000	 96.0000	 -0.0180	  0.5024	  0.0000
288.0000	 96.0000	 -0.0123	  0.5696	  0.0000
320.0000	 96.0000	 -0.0119	  0.4142	  0.0000
352.0000	 96.0000	  0.0118	  0.2085	  0.0000
384.0000	 96.0000	 -0.0019	  0.1367	  0.0000
416.0000	 96.0000	  0.0055	  0.1009	  0.0000
448.0000	 96.0000	  0.0228	  0.0656	  0.0000
480.0000	 96.0000	  0.0401	  0.0418	  0.0000
 32.0000	 64.0000	  0.0010	 -0.0007	  0.0000
 64.0000	 64.0000	  0.0156	  0.0044	  0.0000
 96.0000	 64.0000	 -0.0028	  0.0208	  0.0000
128.0000	 64.0000	 -0.0484	  0.0898	  0.0000
160.0000	 64.0000	 -0.0732	  0.2011	  0.0000
192.0000	 64.0000	 -0.0586	  0.2196	  0.0000
224.0000	 64.0000	 -0.0245	  0.2702	  0.0000
256.0000	 64.0000	 -0.0075	  0.5123	  0.0000
288.0000	 64.0000	 -0.0287	  0.5711	  0.0000
320.0000	 64.0000	 -0.0398	  0.4376	  0.0000
352.0000	 64.0000	  0.0092	  0.2762	  0.0000
384.0000	 64.0000	  0.0215	  0.1987	  0.0000
416.0000	 64.0000	  0.0295	  0.1741	  0.0000
448.0000	 64.0000	  0.0475	  0.1127	  0.0000
480.0000	 64.0000	  0.0554	  0.0762	  0.0000
